room_id,host_id,room_type,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,price,minstay,latitude,longitude
7390650,37624210,Private room,Cheongdam-dong,3,5,2,1,56,1,37.523986,127.041393
13317852,63671979,Private room,Nonhyeon-dong,2,,2,1,28,3,37.509452,127.027914
14380659,86856633,Private room,Nonhyeon-dong,1,,1,1,40,1,37.513186,127.025009
14788767,92351317,Private room,Oksu-dong,1,,2,1,24,1,37.539932,127.01738
14381502,86856633,Private room,Nonhyeon-dong,0,,1,1,31,1,37.514712,127.02579
8328460,43904669,Private room,Hannam-dong,2,,4,1,28,1,37.533205,127.005924
13866746,17062437,Private room,Hoehyeon-dong 1(il)-ga,0,,4,1,89,,37.558724,126.980135
4138381,19666839,Private room,Sogong-dong,8,4,2,1,46,1,37.563109,126.978831
11401224,59844608,Private room,Chungmuro 3(sam)-ga,4,4.5,2,1,45,1,37.562452,126.993199
15118250,21070214,Private room,Hoehyeon-dong 3(sam)-ga,0,,1,1,37,1,37.559331,126.983843
13829558,24853486,Private room,Pildong 2(i)-ga,0,,3,1,55,,37.557981,126.99518
10392048,53498107,Private room,Namsan-dong 2(i)-ga,0,,1,1,56,3,37.558663,126.986916
6751917,30882975,Private room,Chungmuro 1(il)-ga,1,,2,1,42,1,37.561745,126.982955
10709900,11082400,Private room,Namsan-dong 2(i)-ga,2,,4,1,94,1,37.557993,126.985966
14790567,92057677,Private room,Jeo-dong 1(il)-ga,0,,4,1,112,1,37.562901,126.989214
4078035,19666839,Private room,Sogong-dong,6,4,2,1,52,1,37.562888,126.978512
10392137,53498107,Private room,Yejang-dong,0,,3,1,89,3,37.558673,126.98739
3186729,16069632,Private room,Hoehyeon-dong 2(i)-ga,15,4,6,1,74,1,37.557759,126.983676
15117185,21070214,Private room,Hoehyeon-dong 2(i)-ga,0,,2,1,42,1,37.558708,126.983718
15117028,21070214,Private room,Namsan-dong 2(i)-ga,1,,2,1,42,1,37.557443,126.985468
14222595,85223020,Private room,Dongja-dong,0,,2,1,42,1,37.55295,126.975207
11702135,58826452,Private room,Namchang-dong,0,,2,1,56,1,37.55629,126.978228
14675673,24853486,Private room,Pil-dong 3(sam)-ga,0,,2,1,41,,37.558504,126.996307
954034,5181261,Private room,Hoehyeon-dong 1(il)-ga,3,5,2,1,56,1,37.558416,126.979772
6377568,33241003,Private room,Namchang-dong,6,3.5,2,1,53,1,37.555888,126.97784
8044269,25778613,Private room,Hoehyeon-dong 1(il)-ga,0,,2,1,112,1,37.556067,126.980384
3186726,16069632,Private room,Hoehyeon-dong 3(sam)-ga,16,4.5,3,1,62,1,37.559687,126.984295
4795733,24714093,Private room,Hoehyeon-dong 1(il)-ga,0,,3,1,84,1,37.557324,126.979506
13873260,82048866,Private room,Hoehyeon-dong 2(i)-ga,0,,5,1,168,,37.558044,126.983724
6598100,27619578,Private room,Hoehyeon-dong 1(il)-ga,14,4,4,1,57,2,37.557622,126.978858
14256148,84626702,Private room,Bukchang-dong,1,,3,1,75,1,37.562341,126.978807
4296886,22307322,Private room,Namsan-dong 1(il)-ga,4,5,2,1,62,5,37.558867,126.984604
6545491,15446737,Private room,Hoehyeon-dong 1(il)-ga,34,4,2,1,46,1,37.55907,126.980856
13416327,76439720,Private room,Myeong-dong 2(i)-ga,2,,2,1,42,,37.56163,126.983657
12966699,7945053,Private room,Bogwang-dong,1,,2,1,30,1,37.527815,127.001748
11740422,62459831,Private room,Sindang-dong,17,5,2,1,37,1,37.553486,127.005393
921707,4385811,Private room,Sinsa-dong,60,5,2,1,52,2,37.518952,127.025996
2786654,14255851,Private room,Jamwon-dong,12,4,2,1,56,1,37.515907,127.01854
5585766,28838689,Private room,Sinsa-dong,13,4,1,1,35,1,37.525281,127.034397
11446715,48986819,Private room,Sinsa-dong,1,,3,1,84,1,37.522702,127.025016
4739749,2641582,Private room,Cheongdam-dong,34,5,3,1,53,4,37.519814,127.045548
6243095,10267535,Private room,Bogwang-dong,43,5,2,1,38,3,37.525456,126.9984
12192631,24306231,Private room,Seongsu-dong 1(il)-ga,0,,1,1,37,1,37.544625,127.045122
13595980,74255458,Private room,Bogwang-dong,12,5,4,1,60,1,37.531516,126.998685
715769,3670178,Private room,Jamwon-dong,14,5,1,1,35,1,37.513173,127.020331
14542410,70303787,Private room,Bogwang-dong,8,5,2,1,61,1,37.531169,126.998551
4541264,23549240,Private room,Cheongdam-dong,1,,1,1,50,2,37.51846,127.046558
14391976,86856633,Private room,Nonhyeon-dong,0,,3,1,65,1,37.514921,127.024751
839560,4385811,Private room,Sinsa-dong,44,5,2,1,57,2,37.519271,127.026313
15148389,54187147,Private room,Sinsa-dong,0,,1,1,33,1,37.522822,127.022296
12199940,63671979,Private room,Nonhyeon-dong,3,5,1,1,19,3,37.50953,127.027299
8490112,6671276,Private room,Nonhyeon-dong,20,4.5,1,1,30,2,37.513409,127.027424
14829261,63816788,Private room,Nonhyeon-dong,0,,2,1,52,1,37.520518,127.035435
12076709,63671979,Private room,Nonhyeon-dong,5,4,1,1,19,3,37.511176,127.027265
8241799,15979981,Private room,Sinsa-dong,12,4,1,1,24,2,37.528565,127.037772
10891924,56262303,Private room,Sinsa-dong,5,4.5,2,1,43,1,37.518582,127.020544
2156202,5734055,Private room,Sinsa-dong,18,4.5,2,1,56,1,37.526612,127.031029
13842033,80160508,Private room,Jamwon-dong,10,5,2,1,34,,37.517579,127.017844
13595669,74255458,Private room,Bogwang-dong,25,5,4,1,41,1,37.532208,126.999272
10885060,15979981,Private room,Sinsa-dong,2,,1,1,24,2,37.528195,127.036899
9312119,43165386,Private room,Oksu-dong,0,,2,1,46,1,37.543037,127.011111
6537626,19588600,Private room,Hannam-dong,26,5,2,1,31,2,37.534383,127.0015
11006624,56262303,Private room,Sinsa-dong,2,,2,1,43,1,37.518373,127.020869
12095747,19924862,Private room,Sinsa-dong,0,,2,1,36,1,37.518354,127.024562
12160571,65312247,Private room,Sinsa-dong,0,,1,1,46,1,37.528496,127.035128
3395805,4080146,Private room,Sinsa-dong,8,5,1,1,37,1,37.52289,127.024648
6391671,33325048,Private room,Sinsa-dong,21,5,3,1,56,1,37.524331,127.022997
9720498,6027287,Private room,Sinsa-dong,1,,1,1,24,3,37.520709,127.022762
1041563,5734055,Private room,Sinsa-dong,40,4.5,2,1,56,1,37.52609,127.031065
12213255,48986819,Private room,Sinsa-dong,5,5,2,1,75,1,37.522658,127.02734
13176255,260671,Private room,Apgujeong-dong,0,,1,1,67,1,37.528693,127.025273
14816116,87415249,Private room,Sinsa-dong,2,,4,1,47,3,37.522805,127.02557
2719272,13915672,Private room,Samjeon-dong,0,,2,1,66,1,37.500821,127.08432
8542530,30948473,Private room,Junggok-dong,1,,5,1,28,1,37.557101,127.086934
6035090,30948473,Private room,Junggok-dong,0,,5,1,28,1,37.555663,127.087297
6034911,30948473,Private room,Junggok-dong,2,,2,1,19,1,37.555792,127.087962
5090680,25879714,Private room,Jamsil-dong,9,5,4,1,82,1,37.506302,127.087999
1472061,7881318,Private room,Jamsil-dong,0,,2,1,52,2,37.513915,127.083515
10263160,25418541,Private room,Jayang-dong,5,5,1,1,26,1,37.535198,127.080755
7462110,39086301,Private room,Macheon-dong,0,,1,1,19,1,37.497248,127.159678
3763317,5165280,Private room,Samjeon-dong,3,5,1,1,32,2,37.506061,127.096245
7052110,34741801,Private room,Jayang-dong,10,4.5,1,1,15,1,37.530609,127.087256
13037260,67715347,Private room,Seokchon-dong,2,,2,1,26,1,37.505761,127.102955
5542700,28740049,Private room,Guui-dong,1,,2,1,52,2,37.536653,127.091947
13251753,6913955,Private room,Songpa-dong,1,,2,1,36,2,37.506875,127.10672
